Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Mar 28, 1997",977,515,171,291,,,
"Apr 04, 1997",1004,523,172,309,,,
"Apr 11, 1997",982,494,172,317,,,
"Apr 18, 1997",977,493,173,311,,,
"Apr 25, 1997",1008,509,179,320,,,
"May 02, 1997",1063,547,187,329,,,
"May 09, 1997",1133,588,198,347,,,
"May 16, 1997",1191,621,207,362,,,
"May 23, 1997",1263,666,218,379,,,
"May 30, 1997",1353,727,226,400,,,
"Jun 06, 1997",1443,786,237,419,,,
"Jun 13, 1997",1535,849,249,437,,,
"Jun 20, 1997",1627,912,258,457,,,
"Jun 27, 1997",1694,961,269,465,,,
"Jul 04, 1997",1785,1023,280,482,,,
"Jul 11, 1997",1869,1090,286,494,,,
"Jul 18, 1997",1921,1136,296,490,,,
"Jul 25, 1997",1976,1190,300,485,,,
"Aug 01, 1997",2024,1237,308,479,,,
"Aug 08, 1997",2102,1300,310,492,,,
"Aug 15, 1997",2169,1351,317,501,,,
"Aug 22, 1997",2232,1404,322,505,,,
"Aug 29, 1997",2312,1457,328,526,,,
"Sep 05, 1997",2402,1516,334,552,,,
"Sep 12, 1997",2484,1572,336,576,,,
"Sep 19, 1997",2549,1621,343,585,,,
"Sep 26, 1997",2628,1671,349,608,,,
"Oct 03, 1997",2711,1726,354,632,,,
"Oct 10, 1997",2792,1778,360,655,,,
"Oct 17, 1997",2858,1813,360,685,,,
"Oct 24, 1997",2889,1819,365,704,,,
"Oct 31, 1997",2886,1815,363,708,,,
"Nov 07, 1997",2903,1824,367,712,,,
"Nov 14, 1997",2847,1797,364,687,,,
"Nov 21, 1997",2746,1737,356,653,,,
"Nov 28, 1997",2717,1714,353,649,,,
"Dec 05, 1997",2649,1682,341,625,,,
"Dec 12, 1997",2509,1602,322,584,,,
"Dec 19, 1997",2371,1533,293,545,,,
"Dec 26, 1997",2271,1475,271,525,,,
"Jan 02, 1998",2140,1394,260,486,,,
"Jan 09, 1998",2111,1389,243,479,,,
"Jan 16, 1998",1957,1291,225,441,,,
"Jan 23, 1998",1823,1195,216,412,,,
"Jan 30, 1998",1724,1120,210,394,,,
"Feb 06, 1998",1643,1042,222,378,,,
"Feb 13, 1998",1554,986,198,370,,,
"Feb 20, 1998",1477,924,184,369,,,
"Feb 27, 1998",1434,884,165,385,,,
"Mar 06, 1998",1388,845,156,387,,,
"Mar 13, 1998",1239,744,148,346,,,
"Mar 20, 1998",1156,673,152,332,,,
"Mar 27, 1998",1138,635,156,346,,,
"Apr 03, 1998",1206,685,146,375,,,
"Apr 10, 1998",1218,686,143,390,,,
"Apr 17, 1998",1269,717,137,415,,,
"Apr 24, 1998",1326,747,147,433,,,
"May 01, 1998",1396,777,157,462,,,
"May 08, 1998",1490,832,170,488,,,
"May 15, 1998",1575,889,180,507,,,
"May 22, 1998",1658,942,190,526,,,
"May 29, 1998",1753,1002,203,548,,,
"Jun 05, 1998",1832,1057,215,561,,,
"Jun 12, 1998",1932,1118,231,583,,,
"Jun 19, 1998",2010,1174,240,595,,,
"Jun 26, 1998",2075,1219,250,606,,,
"Jul 03, 1998",2143,1268,258,617,,,
"Jul 10, 1998",2231,1323,268,640,,,
"Jul 17, 1998",2306,1376,270,659,,,
"Jul 24, 1998",2366,1422,276,668,,,
"Jul 31, 1998",2428,1461,281,685,,,
"Aug 07, 1998",2499,1509,287,703,,,
"Aug 14, 1998",2568,1547,292,729,,,
"Aug 21, 1998",2634,1592,300,742,,,
"Aug 28, 1998",2685,1629,306,751,,,
"Sep 04, 1998",2721,1665,308,749,,,
"Sep 11, 1998",2795,1710,319,766,,,
"Sep 18, 1998",2850,1743,331,777,,,
"Sep 25, 1998",2896,1775,337,784,,,
"Oct 02, 1998",2943,1805,349,789,,,
"Oct 09, 1998",2999,1838,355,806,,,
"Oct 16, 1998",3072,1870,361,840,,,
"Oct 23, 1998",3121,1884,370,867,,,
"Oct 30, 1998",3185,1917,378,889,,,
"Nov 06, 1998",3213,1909,390,915,,,
"Nov 13, 1998",3163,1891,382,891,,,
"Nov 20, 1998",3144,1878,383,883,,,
"Nov 27, 1998",3145,1870,389,886,,,
"Dec 04, 1998",3172,1888,388,896,,,
"Dec 11, 1998",3125,1871,375,878,,,
"Dec 18, 1998",3038,1813,369,855,,,
"Dec 25, 1998",2870,1715,336,818,,,
"Jan 01, 1999",2707,1615,330,762,,,
"Jan 08, 1999",2472,1455,315,701,,,
"Jan 15, 1999",2265,1312,305,648,,,
"Jan 22, 1999",2173,1243,300,630,,,
"Jan 29, 1999",2099,1197,284,618,,,
"Feb 05, 1999",2017,1138,274,605,,,
"Feb 12, 1999",1976,1103,256,616,,,
"Feb 19, 1999",1888,1033,249,607,,,
"Feb 26, 1999",1763,933,244,587,,,
"Mar 05, 1999",1689,867,242,580,,,
"Mar 12, 1999",1542,762,227,553,,,
"Mar 19, 1999",1446,695,220,531,,,
"Mar 26, 1999",1403,657,220,526,,,
"Apr 02, 1999",1407,659,214,534,,,
